PAM,VFSC
84.14,67.11
84.18,66.75
84.17,66.50
84.13,66.32
84.07,66.22
83.99,66.19
83.92,66.22
83.84,66.31
83.79,66.44
83.76,66.60
83.76,66.80
83.86,67.02
84.06,67.25
84.28,67.49
84.51,67.73
84.73,67.96
84.91,68.18
85.02,68.40
85.08,68.58
85.10,68.71
85.09,68.79
85.01,68.78
84.83,68.55
84.62,68.27
84.39,67.97
84.15,67.68
83.92,67.43
83.81,67.41
83.74,67.49
83.67,67.59
83.59,67.71
83.50,67.81
83.33,67.81
83.08,67.70
82.81,67.56
82.54,67.41
82.26,67.24
82.00,67.10
81.80,67.01
81.62,66.94
81.45,66.86
81.29,66.79
81.14,66.71
80.94,66.49
80.76,66.30
80.62,66.15
80.53,66.08
80.51,66.10
80.67,66.46
80.89,66.91
81.16,67.43
81.48,68.00
81.82,68.59
82.12,69.15
82.44,69.69
82.78,70.18
83.14,70.60
83.52,70.93
83.96,71.01
84.42,70.99
84.89,70.90
85.36,70.75
85.83,70.55
86.29,70.32
86.72,70.08
87.13,69.83
87.50,69.58
87.83,69.34
88.10,69.22
88.29,69.17
88.44,69.13
88.53,69.06
88.56,68.95
88.55,68.74
88.48,68.35
88.36,67.92
88.19,67.44
87.96,66.94
87.67,66.43
87.24,65.91
86.77,65.42
86.29,64.96
85.81,64.56
85.36,64.22
85.03,64.08
84.74,64.03
84.49,64.03
84.28,64.10
84.09,64.22
83.93,64.39
83.80,64.60
83.68,64.80
83.57,65.00
83.47,65.16
83.34,65.19
83.20,65.15
83.05,65.06
82.91,64.94
82.78,64.78
82.66,64.56
82.56,64.31
82.47,64.05
82.37,63.80
82.26,63.59
82.13,63.46
81.98,63.47
81.81,63.53
81.62,63.61
81.42,63.70
81.19,63.78
80.91,63.78
80.62,63.77
80.32,63.75
80.02,63.73
79.72,63.71
79.42,63.64
79.15,63.58
78.89,63.56
78.66,63.60
78.46,63.71
78.31,64.04
78.20,64.49
78.13,64.99
78.11,65.53
78.15,66.07
78.31,66.55
78.53,66.99
78.77,67.39
79.00,67.75
79.22,68.04
79.31,68.21
79.30,68.27
79.27,68.29
79.21,68.28
79.13,68.24
79.05,68.22
78.97,68.22
78.91,68.22
78.87,68.24
78.86,68.28
78.93,68.34
79.09,68.44
79.28,68.56
79.50,68.72
79.73,68.92
79.95,69.18
80.14,69.53
80.32,69.91
80.49,70.28
80.64,70.64
80.76,70.96
80.86,71.18
80.93,71.35
80.98,71.48
81.00,71.55
80.99,71.56
80.92,71.46
80.83,71.31
80.72,71.12
80.60,70.91
80.46,70.68
80.35,70.49
80.23,70.31
80.11,70.13
79.98,69.94
79.83,69.74
79.65,69.51
79.45,69.27
79.24,69.02
79.02,68.78
78.79,68.54
78.54,68.31
78.23,68.01
77.95,67.77
77.70,67.60
77.51,67.52
77.40,67.57
77.50,68.00
77.70,68.57
77.97,69.22
78.31,69.93
78.71,70.67
79.10,71.34
79.54,71.98
80.03,72.57
80.57,73.11
81.18,73.57
81.94,73.90
82.76,74.12
83.61,74.25
84.48,74.29
85.34,74.23
86.20,73.98
87.02,73.62
87.78,73.23
88.44,72.82
89.00,72.43
89.27,72.24
89.34,72.17
89.33,72.10
89.26,72.03
89.16,71.92
89.19,71.61
89.29,71.17
89.39,70.69
89.46,70.20
89.50,69.72
89.45,69.37
89.31,69.16
89.11,68.98
88.86,68.79
88.55,68.57
88.18,68.28
87.67,67.66
87.13,67.04
86.58,66.44
86.06,65.91
85.57,65.50
85.30,65.57
85.08,65.79
84.90,66.09
84.74,66.45
84.58,66.83
84.34,67.06
84.05,67.22
83.76,67.34
83.48,67.42
83.22,67.46
83.00,67.45
82.86,67.38
82.74,67.28
82.64,67.15
82.55,67.00
82.48,66.83
82.43,66.61
82.37,66.39
82.31,66.18
82.23,65.99
82.13,65.82
81.92,65.72
81.66,65.68
81.41,65.68
81.17,65.72
80.96,65.79
80.91,65.94
80.98,66.16
81.08,66.38
81.20,66.59
81.32,66.78
81.37,66.84
81.32,66.74
81.24,66.62
81.15,66.50
81.05,66.42
80.95,66.45
80.90,66.75
80.85,67.09
80.80,67.47
80.76,67.84
80.71,68.18
80.66,68.38
80.61,68.50
80.55,68.56
80.48,68.54
80.40,68.46
80.31,68.23
80.20,67.89
80.07,67.51
79.92,67.10
79.76,66.70
79.53,66.35
79.23,66.08
78.94,65.85
78.66,65.66
78.43,65.53
78.30,65.43
78.30,65.38
78.37,65.41
78.50,65.51
78.67,65.71
78.90,66.09
79.18,66.72
79.48,67.40
79.79,68.10
80.09,68.78
80.34,69.32
80.50,69.59
80.63,69.76
80.76,69.87
80.90,69.90
81.06,69.89
81.31,69.85
81.57,69.78
81.85,69.67
82.15,69.53
82.45,69.37
82.79,69.19
83.12,69.00
83.44,68.80
83.72,68.61
83.97,68.44
84.08,68.29
84.11,68.18
84.12,68.09
84.14,68.04
84.20,68.02
84.44,68.11
84.76,68.24
85.11,68.39
85.45,68.54
85.76,68.67
85.95,68.71
86.04,68.67
86.09,68.61
86.09,68.52
86.05,68.42
85.99,68.32
85.92,68.23
85.82,68.13
85.68,68.01
85.51,67.88
85.31,67.73
85.06,67.55
84.78,67.36
84.47,67.13
84.13,66.87
83.76,66.58
83.27,66.06
82.77,65.54
82.30,65.07
81.87,64.67
81.50,64.40
81.38,64.53
81.35,64.83
81.38,65.23
81.44,65.72
81.52,66.24
81.55,66.75
81.57,67.25
81.59,67.73
81.60,68.17
81.61,68.55
81.60,68.77
81.58,68.90
81.54,68.96
81.49,68.96
81.43,68.91
81.32,68.84
81.19,68.73
81.05,68.58
80.91,68.39
80.76,68.17
80.65,67.89
80.58,67.55
80.50,67.19
80.40,66.84
80.27,66.50
80.06,66.18
79.68,65.88
79.29,65.65
78.90,65.51
78.55,65.46
78.28,65.57
78.26,66.10
78.31,66.71
78.41,67.36
78.53,68.00
78.66,68.58
78.64,68.71
78.62,68.75
78.62,68.73
78.63,68.66
78.68,68.58
78.84,68.67
79.05,68.79
79.30,68.89
79.57,68.97
79.86,69.00
80.16,68.85
80.45,68.60
80.75,68.32
81.04,68.04
81.31,67.76
81.54,67.59
81.72,67.51
81.90,67.45
82.09,67.41
82.30,67.39
82.60,67.34
82.95,67.30
83.30,67.25
83.64,67.21
83.94,67.19
84.16,67.19
84.31,67.22
84.40,67.23
84.45,67.24
84.43,67.23
84.34,67.18
84.18,67.10
83.98,66.98
83.73,66.83
83.44,66.65
83.09,66.36
82.71,66.00
82.30,65.63
81.89,65.28
81.48,64.95
81.09,64.72
80.76,64.68
80.45,64.68
80.15,64.71
79.86,64.74
79.58,64.76
79.31,64.64
79.05,64.50
78.79,64.35
78.53,64.19
78.27,64.04
77.91,63.84
77.54,63.66
77.23,63.54
76.98,63.51
76.85,63.60
77.01,64.06
77.34,64.69
77.75,65.38
78.22,66.10
78.72,66.81
79.19,67.35
79.64,67.81
80.07,68.17
80.48,68.41
80.83,68.53
81.05,68.32
81.21,67.99
81.34,67.58
81.43,67.12
81.51,66.66
81.58,66.33
81.64,66.03
81.71,65.74
81.79,65.47
81.89,65.21
82.07,65.00
82.29,64.80
82.50,64.60
82.72,64.40
82.93,64.18
83.11,63.87
83.26,63.53
83.38,63.20
83.46,62.89
83.50,62.62
83.46,62.47
83.35,62.45
83.20,62.46
83.02,62.51
82.80,62.58
82.56,62.61
82.27,62.56
81.99,62.52
81.73,62.52
81.49,62.55
81.32,62.67
81.28,62.94
81.27,63.26
81.30,63.61
81.36,63.98
81.42,64.36
81.44,64.72
81.48,65.06
81.55,65.39
81.65,65.69
81.80,65.96
82.09,66.13
82.42,66.26
82.77,66.36
83.13,66.43
83.48,66.48
83.78,66.53
84.01,66.57
84.22,66.59
84.40,66.61
84.55,66.61
84.67,66.61
84.77,66.63
84.83,66.63
84.86,66.61
84.86,66.57
84.82,66.51
84.71,66.34
84.56,66.13
84.38,65.92
84.16,65.72
83.92,65.56
83.64,65.49
83.34,65.56
83.02,65.65
82.70,65.77
82.38,65.90
82.07,66.02
81.81,66.05
81.56,66.07
81.33,66.08
81.11,66.09
80.90,66.11
80.69,66.16
80.50,66.21
80.32,66.28
80.17,66.34
80.03,66.41
79.93,66.47
79.86,66.53
79.81,66.59
79.79,66.67
79.80,66.76
79.87,66.92
79.98,67.13
80.11,67.33
80.25,67.50
80.39,67.63
80.48,67.61
80.52,67.42
80.57,67.20
80.65,66.97
80.77,66.76
80.96,66.61
81.34,66.70
81.77,66.84
82.26,67.01
82.78,67.18
83.32,67.34
83.86,67.39
84.40,67.37
84.93,67.32
85.44,67.24
85.93,67.14
86.38,67.01
86.77,66.86
87.12,66.70
87.42,66.53
87.65,66.36
87.82,66.21
87.90,66.13
87.91,66.06
87.85,65.98
87.72,65.90
87.52,65.79
87.19,65.59
86.79,65.35
86.35,65.09
85.88,64.84
85.41,64.61
84.98,64.43
84.61,64.30
84.25,64.20
83.91,64.14
83.59,64.09
83.31,64.09
83.07,64.13
82.85,64.19
82.64,64.25
82.45,64.32
82.27,64.37
82.08,64.38
81.90,64.37
81.73,64.34
81.55,64.29
81.37,64.21
81.18,64.07
80.97,63.90
80.77,63.71
80.55,63.51
80.34,63.29
80.10,63.03
79.85,62.74
79.60,62.47
79.36,62.24
79.13,62.05
78.93,61.95
78.81,62.13
78.71,62.36
78.62,62.61
78.56,62.85
78.50,63.05
78.46,62.99
78.41,62.81
78.37,62.61
78.33,62.41
78.28,62.23
78.17,62.15
78.02,62.18
77.89,62.28
77.80,62.45
77.78,62.70
77.93,63.11
78.23,63.64
78.58,64.23
78.98,64.84
79.40,65.45
79.77,66.00
80.11,66.48
80.43,66.91
80.73,67.29
81.02,67.60
81.26,67.75
81.46,67.79
81.65,67.78
81.85,67.75
82.06,67.74
82.31,67.83
82.59,68.04
82.92,68.29
83.29,68.55
83.73,68.83
84.26,69.09
84.95,69.33
85.70,69.55
86.47,69.75
87.27,69.93
88.06,70.08
88.80,70.18
89.52,70.25
90.19,70.28
90.80,70.27
91.34,70.20
91.72,69.99
92.01,69.70
92.21,69.41
92.36,69.13
92.44,68.90
92.49,68.85
92.50,69.01
92.47,69.21
92.40,69.43
92.30,69.65
92.17,69.82
92.02,69.84
91.84,69.81
91.65,69.73
91.45,69.61
91.25,69.45
91.09,69.18
90.92,68.89
90.76,68.59
90.58,68.32
90.41,68.09
90.22,68.05
90.02,68.09
89.81,68.16
89.59,68.25
89.37,68.33
89.13,68.33
88.87,68.22
88.61,68.08
88.34,67.94
88.08,67.79
87.83,67.64
87.59,67.57
87.36,67.53
87.15,67.49
86.96,67.46
86.79,67.42
86.67,67.35
86.62,67.23
86.58,67.11
86.56,66.98
86.54,66.86
86.52,66.75
86.46,66.70
86.38,66.67
86.29,66.65
86.20,66.62
86.11,66.59
86.02,66.55
85.94,66.48
85.85,66.39
85.75,66.29
85.63,66.17
85.48,66.00
85.29,65.72
85.09,65.45
84.88,65.21
84.66,65.02
84.44,64.90
84.17,64.98
83.93,65.15
83.75,65.40
83.63,65.73
83.62,66.12
83.83,66.57
84.14,67.09
84.55,67.66
85.03,68.28
85.61,68.98
86.29,69.80
87.01,70.62
87.74,71.40
88.46,72.11
89.13,72.63
89.70,72.91
90.21,73.06
90.65,73.08
91.01,73.00
91.25,72.81
91.34,72.51
91.35,72.13
91.29,71.70
91.18,71.23
91.02,70.74
90.89,70.30
90.73,69.86
90.54,69.42
90.33,69.00
90.10,68.59
89.83,68.22
89.53,67.90
89.22,67.59
88.91,67.29
88.61,66.99
88.34,66.69
88.12,66.31
87.93,65.95
87.76,65.62
87.61,65.32
87.48,65.09
87.40,65.01
87.34,65.04
87.28,65.12
87.22,65.24
87.16,65.38
87.05,65.52
86.82,65.61
86.60,65.70
86.40,65.80
86.25,65.92
86.18,66.06
86.35,66.23
86.59,66.43
86.89,66.66
87.22,66.92
87.57,67.21
87.86,67.62
88.14,68.06
88.41,68.51
88.67,68.94
88.94,69.32
89.22,69.59
89.50,69.75
89.77,69.85
90.01,69.88
90.22,69.85
90.37,69.76
90.45,69.60
90.48,69.39
90.47,69.13
90.42,68.83
90.33,68.46
90.16,67.94
89.97,67.43
89.77,66.95
89.57,66.53
89.39,66.22
89.34,66.34
89.32,66.63
89.32,66.97
89.31,67.32
89.30,67.65
89.24,67.75
89.14,67.65
89.01,67.48
88.84,67.26
88.62,66.99
88.32,66.66
87.89,66.28
87.44,65.92
87.00,65.61
86.60,65.39
86.31,65.36
86.22,65.67
86.19,66.06
86.19,66.49
86.20,66.92
86.18,67.23
86.08,67.30
85.96,67.32
85.83,67.30
85.68,67.25
85.53,67.23
85.38,67.30
85.22,67.37
85.06,67.43
84.90,67.45
84.74,67.44
84.60,67.29
84.47,67.11
84.33,66.90
84.20,66.68
84.06,66.45
83.93,66.28
83.79,66.14
83.65,66.00
83.50,65.86
83.33,65.73
83.13,65.61
82.89,65.51
82.64,65.39
82.37,65.25
82.10,65.08
81.83,64.85
81.56,64.43
81.30,64.00
81.04,63.58
80.80,63.21
80.58,62.92
80.37,62.90
80.20,62.99
80.05,63.16
79.93,63.38
79.85,63.64
79.80,63.86
79.80,64.07
79.85,64.31
79.95,64.58
80.10,64.88
80.33,65.25
80.62,65.67
80.98,66.10
81.40,66.52
81.88,66.93
82.50,67.29
83.19,67.60
83.90,67.87
84.62,68.10
85.31,68.27
85.92,68.37
86.46,68.40
86.94,68.38
87.36,68.30
87.70,68.18
87.94,67.98
88.07,67.72
88.13,67.43
88.13,67.13
88.07,66.81
87.96,66.52
87.82,66.29
87.64,66.07
87.41,65.87
87.15,65.67
86.85,65.47
86.50,65.25
86.11,65.03
85.69,64.81
85.27,64.62
84.84,64.44
84.43,64.32
84.05,64.26
83.68,64.22
83.30,64.18
82.92,64.15
82.52,64.11
82.02,63.95
81.54,63.79
81.08,63.66
80.68,63.57
80.34,63.54
80.25,63.75
80.24,64.01
80.27,64.30
80.35,64.60
80.45,64.88
80.50,65.00
80.55,65.08
80.60,65.14
80.65,65.18
80.69,65.21
80.69,65.28
80.69,65.35
80.69,65.42
80.70,65.48
80.74,65.53
80.82,65.59
80.94,65.63
81.09,65.66
81.28,65.66
81.50,65.64
81.81,65.54
82.19,65.38
82.58,65.20
82.97,65.02
83.35,64.84
83.67,64.69
83.92,64.61
84.13,64.54
84.30,64.48
84.45,64.41
84.56,64.32
84.64,64.16
84.70,64.00
84.73,63.86
84.75,63.73
84.75,63.65
84.75,63.65
84.73,63.68
84.70,63.74
84.64,63.83
84.54,63.95
84.37,64.12
84.18,64.30
84.01,64.47
83.85,64.60
83.75,64.62
83.72,64.47
83.74,64.32
83.81,64.20
83.92,64.15
84.10,64.34
84.34,64.80
84.62,65.33
84.92,65.90
85.23,66.46
85.51,66.90
85.75,67.19
86.01,67.44
86.30,67.65
86.62,67.84
86.99,68.02
87.42,68.20
87.91,68.36
88.48,68.49
89.12,68.59
89.97,68.68
90.92,68.74
91.90,68.76
92.87,68.73
93.81,68.66
94.58,68.50
95.25,68.29
95.82,68.01
96.29,67.68
96.63,67.27
96.69,66.66
96.66,66.03
96.57,65.42
96.44,64.86
96.36,64.47
96.41,64.40
96.48,64.42
96.53,64.51
96.57,64.62
96.55,64.68
96.46,64.68
96.32,64.65
96.13,64.59
95.89,64.50
95.54,64.32
95.09,64.08
94.62,63.81
94.15,63.55
93.70,63.29
93.37,63.11
93.16,62.98
92.99,62.90
92.84,62.83
92.70,62.80
92.53,62.80
92.29,62.84
92.04,62.89
91.79,62.94
91.52,62.97
91.26,62.97
91.01,62.84
90.76,62.70
90.49,62.58
90.21,62.49
89.87,62.45
89.39,62.48
88.93,62.60
88.53,62.82
88.23,63.15
88.16,63.70
88.37,64.53
88.71,65.42
89.17,66.32
89.71,67.17
90.34,67.76
91.03,68.19
91.73,68.54
92.41,68.84
93.03,69.11
93.49,69.51
93.87,69.87
94.17,70.14
94.40,70.31
94.54,70.27
94.61,69.95
94.59,69.51
94.50,68.99
94.34,68.41
94.09,67.83
93.74,67.29
93.35,66.75
92.91,66.24
92.45,65.76
91.98,65.38
91.54,65.12
91.09,64.91
90.65,64.73
90.22,64.57
89.81,64.39
89.42,64.09
89.05,63.81
88.69,63.57
88.35,63.39
88.03,63.29
87.65,63.36
87.31,63.52
87.04,63.77
86.85,64.11
86.79,64.56
86.94,65.18
87.19,65.85
87.53,66.54
87.94,67.23
88.43,67.82
88.96,68.30
89.52,68.75
90.07,69.16
90.60,69.54
91.02,69.96
91.37,70.37
91.66,70.73
91.91,71.01
92.10,71.19
92.24,71.16
92.32,71.03
92.35,70.82
92.33,70.52
92.23,70.15
92.05,69.68
91.82,69.18
91.57,68.69
91.29,68.21
91.02,67.83
90.79,67.64
90.55,67.50
90.31,67.37
90.06,67.24
89.80,67.03
89.51,66.67
89.21,66.30
88.90,65.94
88.57,65.61
88.20,65.37
87.78,65.24
87.38,65.18
87.02,65.20
86.71,65.31
86.54,65.57
86.50,65.95
86.53,66.38
86.62,66.82
86.77,67.25
86.94,67.54
87.15,67.78
87.39,67.97
87.67,68.13
87.97,68.26
88.32,68.39
88.68,68.46
89.02,68.46
89.33,68.38
89.59,68.13
89.77,67.72
89.89,67.22
89.96,66.65
89.96,66.04
89.83,65.39
89.61,64.73
89.34,64.09
89.04,63.48
88.74,62.92
88.50,62.54
88.30,62.31
88.12,62.14
87.96,62.03
87.81,61.95
87.69,61.84
87.59,61.71
87.48,61.61
87.35,61.53
87.19,61.50
86.86,61.49
86.42,61.52
86.00,61.63
85.63,61.82
85.35,62.12
85.38,62.67
85.56,63.34
85.82,64.08
86.15,64.85
86.50,65.62
86.84,66.37
87.20,67.07
87.55,67.71
87.89,68.26
88.19,68.62
88.45,68.80
88.68,68.88
88.87,68.86
89.03,68.77
89.14,68.61
89.21,68.39
89.25,68.13
89.25,67.84
89.22,67.53
89.13,67.28
89.02,67.03
88.89,66.76
88.74,66.46
88.59,66.11
88.50,65.62
88.40,65.11
88.27,64.64
88.11,64.21
87.85,63.92
87.45,63.83
87.05,63.82
86.70,63.86
86.42,63.95
86.45,64.06
86.64,64.19
86.89,64.31
87.16,64.43
87.38,64.53
87.41,64.57
87.38,64.58
87.30,64.54
87.15,64.44
86.93,64.24
86.63,63.90
86.29,63.52
85.91,63.12
85.52,62.71
85.13,62.35
84.76,62.07
84.39,61.82
84.03,61.60
83.68,61.40
83.35,61.23
83.05,61.09
82.77,60.98
82.50,60.89
82.25,60.84
82.03,60.84
81.85,60.90
81.67,60.99
81.48,61.09
81.27,61.19
80.98,61.24
80.52,61.15
80.07,61.08
79.65,61.06
79.30,61.10
79.16,61.37
79.27,61.87
79.45,62.42
79.67,62.99
79.91,63.52
80.03,63.84
80.10,64.01
80.14,64.12
80.16,64.16
80.18,64.16
80.19,64.08
80.20,63.98
80.22,63.88
80.25,63.82
80.30,63.79
80.37,64.04
80.47,64.34
80.61,64.66
80.80,64.95
81.04,65.20
81.39,65.20
81.79,65.12
82.25,65.00
82.75,64.86
83.29,64.71
83.91,64.60
84.55,64.52
85.18,64.47
85.81,64.47
86.40,64.53
86.93,64.76
87.39,65.04
87.79,65.34
88.10,65.66
88.29,65.95
88.20,66.10
88.05,66.24
87.87,66.38
87.69,66.54
87.63,66.78
87.79,67.17
87.99,67.56
88.21,67.93
88.42,68.26
88.56,68.40
88.60,68.35
88.60,68.26
88.53,68.18
88.41,68.14
88.17,68.39
87.85,68.86
87.48,69.34
87.08,69.78
86.65,70.11
86.20,70.05
85.76,69.66
85.33,69.15
84.93,68.56
84.57,67.93
84.31,67.36
84.17,66.89
84.08,66.47
84.03,66.10
84.02,65.79
84.02,65.57
84.01,65.52
84.02,65.52
84.02,65.56
84.01,65.63
83.98,65.70
83.90,65.73
83.81,65.75
83.70,65.77
83.57,65.77
83.39,65.72
83.13,65.55
82.89,65.41
82.71,65.33
82.62,65.32
82.77,65.60
83.17,66.14
83.65,66.72
84.16,67.27
84.69,67.73
85.08,67.77
85.42,67.62
85.70,67.36
85.93,67.00
86.10,66.59
86.16,66.19
86.16,65.76
86.09,65.32
85.97,64.88
85.80,64.48
85.57,64.16
85.30,63.87
84.99,63.59
84.66,63.32
84.31,63.05
83.97,62.75
83.62,62.45
83.26,62.17
82.91,61.91
82.55,61.69
82.21,61.56
81.87,61.45
81.54,61.39
81.22,61.35
80.91,61.33
80.64,61.36
80.38,61.40
80.13,61.45
79.89,61.50
79.64,61.54
79.29,61.43
78.94,61.29
78.63,61.21
78.39,61.20
78.25,61.31
78.34,61.79
78.55,62.43
78.88,63.15
79.31,63.92
79.83,64.71
80.49,65.44
81.21,66.13
81.97,66.76
82.74,67.31
83.48,67.71
84.16,67.94
84.79,68.05
85.36,68.06
85.86,67.99
86.22,67.81
86.45,67.54
86.59,67.21
86.67,66.84
86.68,66.44
86.66,66.07
86.61,65.74
86.52,65.41
86.41,65.07
86.27,64.75
86.13,64.43
86.02,64.13
85.88,63.83
85.73,63.52
85.54,63.19
85.32,62.83
85.01,62.36
84.67,61.88
84.32,61.40
83.95,60.93
83.58,60.49
83.26,60.15
82.94,59.85
82.61,59.59
82.27,59.37
81.93,59.18
81.45,58.97
80.98,58.80
80.54,58.71
80.16,58.70
79.88,58.80
79.86,59.18
79.93,59.64
80.07,60.16
80.28,60.69
80.52,61.18
80.75,61.53
81.02,61.85
81.31,62.14
81.62,62.42
81.96,62.68
82.33,62.94
82.71,63.18
83.08,63.42
83.45,63.64
83.79,63.84
84.07,64.04
84.33,64.22
84.57,64.39
84.79,64.54
85.01,64.67
85.25,64.82
85.47,64.94
85.66,65.02
85.82,65.05
85.92,65.03
85.89,64.82
85.82,64.55
85.71,64.27
85.59,63.98
85.46,63.70
85.39,63.58
85.32,63.49
85.28,63.43
85.25,63.38
85.24,63.34
85.32,63.32
85.42,63.30
85.53,63.24
85.62,63.15
85.68,63.00
85.66,62.60
85.58,62.12
85.47,61.63
85.32,61.17
85.14,60.80
84.91,60.74
84.66,60.87
84.39,61.08
84.11,61.35
83.84,61.63
83.57,61.79
83.32,61.88
83.10,61.99
82.91,62.12
82.75,62.30
82.65,62.65
82.60,63.08
82.60,63.54
82.66,64.03
82.77,64.51
83.03,64.92
83.35,65.29
83.71,65.64
84.08,65.96
84.44,66.27
84.71,66.59
84.93,66.89
85.12,67.15
85.29,67.33
85.43,67.42
85.54,67.32
85.64,67.07
85.72,66.74
85.78,66.34
85.82,65.89
85.85,65.42
85.88,64.94
85.89,64.47
85.89,64.01
85.88,63.58
85.87,63.20
85.90,63.04
85.93,62.93
85.91,62.85
85.86,62.77
85.74,62.68
85.46,62.44
85.07,62.09
84.62,61.74
84.14,61.41
83.65,61.12
83.20,60.95
82.81,60.97
82.44,61.03
82.08,61.14
81.73,61.26
81.36,61.35
80.88,61.25
80.44,61.17
80.08,61.16
79.82,61.26
79.71,61.53
80.00,62.25
80.42,63.11
80.93,64.05
81.50,65.04
82.09,66.02
82.61,66.91
83.11,67.74
83.59,68.48
84.03,69.10
84.42,69.53
84.69,69.58
84.91,69.51
85.10,69.36
85.24,69.15
85.36,68.95
85.45,68.97
85.52,69.01
85.58,69.05
85.64,69.09
85.70,69.10
85.83,69.09
85.98,69.03
86.13,68.92
86.28,68.74
86.42,68.50
86.54,68.10
86.64,67.56
86.71,66.95
86.75,66.29
86.74,65.61
86.68,64.92
86.53,64.25
86.32,63.61
86.06,63.00
85.75,62.44
85.40,61.94
84.94,61.53
84.44,61.22
83.94,61.00
83.46,60.87
83.03,60.85
82.74,61.00
82.60,61.32
82.52,61.71
82.50,62.16
82.53,62.63
82.59,63.07
82.68,63.44
82.80,63.80
82.93,64.14
83.08,64.47
83.22,64.81
83.36,65.16
83.49,65.48
83.62,65.77
83.74,65.99
83.86,66.15
83.97,66.23
84.07,66.22
84.16,66.11
84.24,65.88
84.30,65.52